"ISBN;""Book-Title"";""Book-Author"";""Year-Of-Publication"";""Publisher"""
"0195153448";""Classical Mythology"";""Mark P. O. Morford"";""2002"";""Oxford University Press"""
"0002005018";""Clara Callan"";""Richard Bruce Wright"";""2001"";""HarperFlamingo Canada"""
"0060973129";""Decision in Normandy"";""Carlo D'Este"";""1991"";""HarperPerennial"""
"0374157065";""Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It"";""Gina Bari Kolata"";""1999"";""Farrar Straus Giroux"""
"0393045218";""The Mummies of Urumchi"";""E. J. W. Barber"";""1999"";""W. W. Norton & Company"""
"0399135782";""The Kitchen God's Wife"";""Amy Tan"";""1991"";""Putnam Pub Group"""
"0425176428";""What If?: The World's Foremost Military Historians Imagine What Might Have Been"";""Robert Cowley"";""2000"";""Berkley Publishing Group"""
"0671870432";""PLEADING GUILTY"";""Scott Turow"";""1993"";""Audioworks"""
"0679425608";""Under the Black Flag: The Romance and the Reality of Life Among the Pirates"";""David Cordingly"";""1996"";""Random House"""
"074322678X";""Where You'll Find Me: And Other Stories"";""Ann Beattie"";""2002"";""Scribner"""
"0771074670";""Nights Below Station Street"";""David Adams Richards"";""1988"";""Emblem Editions"""
"080652121X";""Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust"";""Adam Lebor"";""2000"";""Citadel Press"""
"0887841740";""The Middle Stories"";""Sheila Heti"";""2004"";""House of Anansi Press"""
"1552041778";""Jane Doe"";""R. J. Kaiser"";""1999"";""Mira Books"""
"1558746218";""A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)"";""Jack Canfield"";""1998"";""Health Communications"""
"1567407781";""The Witchfinder (Amos Walker Mystery Series)"";""Loren D. Estleman"";""1998"";""Brilliance Audio - Trade"""
"1575663937";""More Cunning Than Man: A Social History of Rats and Man"";""Robert Hendrickson"";""1999"";""Kensington Publishing Corp."""
"1881320189";""Goodbye to the Buttermilk Sky"";""Julia Oliver"";""1994"";""River City Pub"""
"0440234743";""The Testament"";""John Grisham"";""1999"";""Dell"""
